run,experiment,base_model,data,fraction,hard_negatives,seed,train_rows,steps,best_step,best_epoch,dev_ndcg@10_base,dev_ndcg@10_best,dev_ndcg@10_best_seen,dev_ndcg@10_best_unseen_articles,dev_recall@10_best,train_min,sec_per_step,peak_mem_gb,git_commit
e1_small_both_hn,E1,multilingual-e5-small,llm+titles,1.0000,True,42,12298,194,192,1.9800,0.8161,0.8497,0.8532,0.8389,0.9392,5.6300,1.7410,2.1100,7da9717
e1_small_both_inb,E1,multilingual-e5-small,llm+titles,1.0000,False,42,12298,194,72,0.7400,0.8161,0.8443,0.8480,0.8333,0.9358,3.6400,1.1250,2.0900,dd72715
e1_small_llm_hn,E1,multilingual-e5-small,llm,1.0000,True,42,9139,144,72,1.0000,0.8161,0.8501,0.8614,0.8159,0.9358,3.9100,1.6290,2.0900,dd72715
e1_small_llm_hn_s43,E3,multilingual-e5-small,llm,1.0000,True,43,9139,144,126,1.7500,0.8161,0.8448,0.8549,0.8144,0.9358,3.9400,1.6420,2.0900,dd72715
e1_small_llm_hn_s44,E3,multilingual-e5-small,llm,1.0000,True,44,9139,144,72,1.0000,0.8161,0.8452,0.8553,0.8149,0.9426,3.8800,1.6190,2.0900,dd72715
e1_small_llm_inb,E1,multilingual-e5-small,llm,1.0000,False,42,9139,144,144,2.0000,0.8161,0.8434,0.8536,0.8127,0.9324,2.9800,1.2400,2.0800,dd72715
e1_small_titles_hn,E1,multilingual-e5-small,titles,1.0000,True,42,3159,50,6,0.2400,0.8161,0.8261,0.8353,0.7984,0.9122,2.3100,2.7670,2.0800,dd72715
e1_small_titles_inb,E1,multilingual-e5-small,titles,1.0000,False,42,3159,50,6,0.2400,0.8161,0.8235,0.8357,0.7871,0.9088,2.0600,2.4720,2.0000,dd72715
e2_base_both_hn,E2,multilingual-e5-base,llm+titles,1.0000,True,42,12298,194,72,0.7400,0.8280,0.8463,0.8449,0.8507,0.9358,10.3500,3.2030,3.5500,dd72715
e2_base_llm_hn,E2,multilingual-e5-base,llm,1.0000,True,42,9139,144,72,1.0000,0.8280,0.8495,0.8505,0.8465,0.9459,8.2100,3.4200,3.5400,dd72715
e2_base_llm_hn_s43,E3,multilingual-e5-base,llm,1.0000,True,43,9139,144,144,2.0000,0.8280,0.8494,0.8475,0.8548,0.9426,8.2400,3.4350,3.5400,dd72715
e2_base_llm_hn_s44,E3,multilingual-e5-base,llm,1.0000,True,44,9139,144,72,1.0000,0.8280,0.8540,0.8567,0.8459,0.9459,8.2100,3.4190,3.5400,dd72715
e4_small_llm_hn_f25,E4,multilingual-e5-small,llm,0.2500,True,42,2285,36,4,0.2200,0.8161,0.8333,0.8478,0.7896,0.9155,2.2500,3.7520,2.0800,dd72715
e4_small_llm_hn_f50,E4,multilingual-e5-small,llm,0.5000,True,42,4570,72,54,1.5000,0.8161,0.8384,0.8509,0.8008,0.9291,2.7300,2.2750,2.0800,dd72715
